seed,condition,zorp_acc,zorp_nll,zorp_brier,zorp_entropy,within_acc,cross_acc,mira_acc,accepted_examples,accept_rate,first_pass_rate,unchecked_pseudo_error,adapter_norm,adapt_wall_seconds
41001,no_update,0.3020833333333333,1.3930352926254272,0.7529372153406775,1.382463812828064,0.25,0.328125,0.1875,0,,,,24.120319070422543,0.016416549682617188
41001,replay,0.28125,1.426962971687317,0.7684691326988039,1.3527804613113403,0.15625,0.34375,0.3125,48,,,,24.192294697459978,80.07484149932861
41001,unchecked_hard,0.28125,1.3879770040512085,0.7506628781053658,1.3720006942749023,0.15625,0.34375,0.2916666666666667,48,,,0.7916666666666666,24.18415231511,78.42397475242615
41001,validated_uniform,0.19791666666666666,1.5681076049804688,0.8394267691024524,1.2750849723815918,0.125,0.234375,0.23958333333333334,34,0.7083333333333334,0.3125,,24.286621914647313,75.29733109474182
41001,validated_hard,0.2916666666666667,1.4062286615371704,0.7596777517847689,1.3704456090927124,0.40625,0.234375,0.2708333333333333,39,0.8125,0.3541666666666667,,24.21678343906425,94.92784190177917
41001,validated_dream,0.19791666666666666,1.4308648109436035,0.7727286583751911,1.3659635782241821,0.125,0.234375,0.23958333333333334,34,0.7083333333333334,0.16666666666666666,,24.189036206066405,88.17225456237793
41001,validated_hard_anchor,0.2604166666666667,1.6159642934799194,0.8474192170763395,1.211100697517395,0.21875,0.28125,0.25,30,0.625,0.2708333333333333,,24.439017413001388,88.56620669364929
41098,no_update,0.3125,1.3842109441757202,0.7489485398281831,1.3842195272445679,0.40625,0.265625,0.22916666666666666,0,,,,23.998294727209466,0.021228551864624023
41098,replay,0.2604166666666667,1.3826817274093628,0.7483389725330071,1.356956124305725,0.1875,0.296875,0.2916666666666667,48,,,,24.19278207171604,97.53538990020752
41098,unchecked_hard,0.25,1.4142643213272095,0.763360550709096,1.3555835485458374,0.28125,0.234375,0.22916666666666666,48,,,0.7916666666666666,24.083327724564395,97.09728980064392
41098,validated_uniform,0.19791666666666666,1.3766555786132812,0.7450660288962668,1.3783564567565918,0.25,0.171875,0.22916666666666666,36,0.75,0.2916666666666667,,24.120283164273367,95.3856873512268
