seed,experiment,treatment,control,diff
23001,E1_recall_competition,0.3844335339428939,0.054511829480608634,0.3299217044622853
23001,E2_associative_chain,0.6318181818181818,0.01818181818181818,0.6136363636363636
23001,E3_endogenous_transfer,0.26666666666666666,0.0,0.26666666666666666
23001,E4_goal_directed,0.2111111111111111,0.07777777777777778,0.13333333333333333
23001,E5_recursive_strengthening,0.9947170482382575,0.12406642993502476,0.8706506183032328
23001,E6_clone_divergence,0.034331643657117855,0.0,0.034331643657117855
23001,E7_observation_x_thought,0.2182741116751269,0.022321428571428572,0.19595268310369832
23001,E8_dream_recombination,1.0,0.0,1.0
23001,E9_lora_validated_internalization,0.9639999866485596,0.7839999794960022,0.18000000715255737
23001,E10_validated_vs_unvalidated,0.9642857313156128,0.7657142877578735,0.19857144355773926
23001,E11_verified_sharpening,0.9775000214576721,0.7987499833106995,0.17875003814697266
23001,E12_anchor_preservation,0.8100000023841858,0.6880000233650208,0.12199997901916504
23054,E1_recall_competition,0.39683041571757244,0.13542555835401243,0.26140485736356
23054,E2_associative_chain,0.5863636363636363,0.05454545454545454,0.5318181818181817
23054,E3_endogenous_transfer,0.2833333333333333,0.0,0.2833333333333333
23054,E4_goal_directed,0.23333333333333334,0.06111111111111111,0.17222222222222222
23054,E5_recursive_strengthening,0.9946751344502059,0.12320563294135464,0.8714695015088513
23054,E6_clone_divergence,0.03615059200838961,0.0,0.03615059200838961
23054,E7_observation_x_thought,0.21739130434782608,0.02531645569620253,0.19207484865162355
23054,E8_dream_recombination,1.0,0.0,1.0
23054,E9_lora_validated_internalization,0.9879999756813049,0.8519999980926514,0.13599997758865356
23054,E10_validated_vs_unvalidated,0.9457142949104309,0.5799999833106995,0.36571431159973145
23054,E11_verified_sharpening,0.9775000214576721,0.8050000071525574,0.17250001430511475
23054,E12_anchor_preservation,0.972000002861023,0.9760000109672546,-0.0040000081062316895
23107,E1_recall_competition,0.3411120854374861,0.08888040313722004,0.25223168230026605
23107,E2_associative_chain,0.5863636363636363,0.04090909090909091,0.5454545454545454
23107,E3_endogenous_transfer,0.20833333333333334,0.0,0.20833333333333334
23107,E4_goal_directed,0.2611111111111111,0.03888888888888889,0.22222222222222224
23107,E5_recursive_strengthening,0.9948414120693448,0.12669237255459181,0.8681490395147531
23107,E6_clone_divergence,0.03644987228687639,0.0,0.03644987228687639
23107,E7_observation_x_thought,0.25980392156862747,0.05327868852459016,0.2065252330440373
23107,E8_dream_recombination,1.0,0.0,1.0
23107,E9_lora_validated_internalization,0.9639999866485596,0.7620000243186951,0.2019999623298645
23107,E10_validated_vs_unvalidated,0.9671428799629211,0.8128571510314941,0.154285728931427
